iter	Passed	Remaining
0	2	234
1	4	218
2	6	208
3	7	189
4	9	188
5	12	196
6	14	199
7	17	200
8	19	201
9	21	196
10	24	198
11	26	195
12	28	192
13	30	189
14	32	185
15	34	182
16	36	179
17	38	176
18	40	173
19	42	171
20	44	168
21	46	166
22	48	163
23	50	160
24	52	158
25	55	157
26	57	155
27	59	152
28	61	150
29	63	148
30	65	146
31	67	144
32	69	142
33	72	139
34	74	137
35	76	135
36	78	132
37	80	130
38	81	128
39	89	134
40	91	131
41	92	127
42	94	124
43	96	122
44	98	120
45	100	117
46	102	115
47	104	113
48	106	110
49	108	108
50	110	106
51	112	103
52	114	101
53	119	101
54	120	98
55	122	96
56	124	94
57	127	92
58	129	89
59	131	87
60	133	85
61	135	82
62	137	80
63	139	78
64	142	76
65	144	74
66	146	71
67	149	70
68	151	67
69	153	65
70	155	63
71	157	61
72	159	58
73	161	56
74	163	54
75	165	52
76	166	49
77	168	47
78	171	45
79	173	43
80	175	41
81	177	38
82	179	36
83	181	34
84	183	32
85	185	30
86	187	28
87	189	25
88	191	23
89	193	21
90	195	19
91	197	17
92	199	15
93	201	12
94	203	10
95	205	8
96	216	6
97	219	4
98	221	2
99	223	0
